DestinationID,Name,State,Type,Popularity,BestTimeToVisit,latitude,longitude,visit_duration,rating,num_reviews
1,Taj Mahal,Uttar Pradesh,Historical,8.691906258695031,Nov-Feb,6.2316540118847366,-75.61268670711614,36,4.190263349811363,831
2,Goa Beaches,Goa,Beach,8.605031858363876,Nov-Mar,6.289271430640992,-75.57700990526216,64,3.0198476422556713,721
3,Jaipur City,Rajasthan,City,9.225372007612826,Oct-Mar,6.26739939418114,-75.54390541641236,84,3.9281903189070078,242
4,Kerala Backwaters,Kerala,Nature,7.9773855361057935,Sep-Mar,6.254065848419704,-75.55797751135904,43,4.926998481775176,954
5,Leh Ladakh,Jammu and Kashmir,Adventure,8.399821878316247,Apr-Jun,6.209801864044244,-75.55054388521386,39,4.038064560259097,236
6,Taj Mahal,Uttar Pradesh,Historical,7.6489495441529245,Nov-Feb,6.209799452033621,-75.56532166332893,109,4.355084534917906,380
7,Goa Beaches,Goa,Beach,9.14506834197403,Nov-Mar,6.20000836121682,-75.5619723435482,45,3.623727715833766,148
8,Jaipur City,Rajasthan,City,9.4587045393854,Oct-Mar,6.280817614577494,-75.54628043484347,83,4.547982756305525,865
9,Kerala Backwaters,Kerala,Nature,9.260450137338132,Sep-Mar,6.254311501174321,-75.60623319911407,118,4.54584296375223,826
10,Leh Ladakh,Jammu and Kashmir,Adventure,8.811952081678728,Apr-Jun,6.2650072577796045,-75.58225750363569,106,4.042592095308278,158
11,Taj Mahal,Uttar Pradesh,Historical,8.17770928252728,Nov-Feb,6.19625844942958,-75.60907905581803,99,4.952027646558427,124
12,Goa Beaches,Goa,Beach,8.084317505906522,Nov-Mar,6.2911909852162,-75.53243319920033,73,3.251100429525307,459
13,Jaipur City,Rajasthan,City,9.114721643188815,Oct-Mar,6.277444264080042,-75.53679406603133,102,3.033895329779162,72
14,Kerala Backwaters,Kerala,Nature,8.551426230833268,Sep-Mar,6.215433911067827,-75.62725731886314,74,4.5403164235141915,113
15,Leh Ladakh,Jammu and Kashmir,Adventure,9.297389086740504,Apr-Jun,6.212382496720711,-75.56064248274842,85,4.614311074729765,860
16,Taj Mahal,Uttar Pradesh,Historical,8.337332881983857,Nov-Feb,6.212540450985344,-75.53867516825842,113,3.2404144582411525,880
